,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,url,address1,city,zip_code,country,state,display_address,latitude,longitude
18,(310) 278-5444,5414.572709223623,VJou5-oG2fnWDJrvG6wGzg,False,Sofitel Los Angeles,+13102785444,$$$,3.5,406,[],https://www.yelp.com/biz/sofitel-los-angeles-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,8555 Beverly Blvd,Los Angeles,90048,US,CA,"['8555 Beverly Blvd', 'Los Angeles, CA 90048']",34.0762031,-118.3779835
19,(323) 845-1600,7849.399160256858,Y-W3qDgoH-aqjPiLmllonw,False,Tilt Hotel Universal/Hollywood,+13238451600,$$,3.0,101,[],https://www.yelp.com/biz/tilt-hotel-universal-hollywood-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,3241 Cahuenga Blvd W,Los Angeles,90068,US,CA,"['3241 Cahuenga Blvd W', 'Los Angeles, CA 90068']",34.129071,-118.346404
20,(213) 624-1000,6108.004313379851,kfaj8WG-vsnj_8kwtpwBaA,False,"The Westin Bonaventure Hotel & Suites, Los Angeles",+12136241000,$$$,3.5,1096,[],https://www.yelp.com/biz/the-westin-bonaventure-hotel-and-suites-los-angeles-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,404 S Figueroa St,Los Angeles,90071,US,CA,"['404 S Figueroa St', 'Los Angeles, CA 90071']",34.0528527584702,-118.255921580179
21,(213) 545-4695,8049.185708475941,drvon2Eg21Y_A49JFKPwmA,False,American Hotel,+12135454695,$$,3.5,10,[],https://www.yelp.com/biz/american-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,303 S Hewitt St,Los Angeles,90013,US,CA,"['303 S Hewitt St', 'Los Angeles, CA 90013']",34.0452156066895,-118.236312866211
22,(323) 256-7711,12480.952390363856,yurH52fUoE12gfVGaJkWag,False,Best Western Plus Glendale,+13232567711,$$,3.5,124,[],https://www.yelp.com/biz/best-western-plus-glendale-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,2911 Colorado Blvd,Los Angeles,90041,US,CA,"['2911 Colorado Blvd', 'Los Angeles, CA 90041']",34.14309,-118.22847
23,(310) 553-6561,6851.043317627002,6OHbLXJavA13d22z4XJZdQ,False,Beverly Hills Marriott,+13105536561,$$$,3.5,89,[],https://www.yelp.com/biz/beverly-hills-marriott-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1150 S Beverly Dr,Los Angeles,90035,US,CA,"['1150 S Beverly Dr', 'Los Angeles, CA 90035']",34.0565660866029,-118.395503461361
24,(877) 724-1973,5578.551149518222,-PFj_K_yS_IbPKsORGILZw,False,Hotel Figueroa,+18777241973,$$,3.5,563,[],https://www.yelp.com/biz/hotel-figueroa-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,939 S Figueroa St,Los Angeles,90015,US,CA,"['939 S Figueroa St', 'Los Angeles, CA 90015']",34.045529,-118.2640141
25,(310) 477-9066,10743.914867466381,BAgC3n-gmeRwMS8V60n_aA,False,Best Western Royal Palace Inn & Suites,+13104779066,$$,3.5,55,[],https://www.yelp.com/biz/best-western-royal-palace-inn-and-suites-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,2528 S Sepulveda Blvd,Los Angeles,90064,US,CA,"['2528 S Sepulveda Blvd', 'Los Angeles, CA 90064']",34.03437,-118.43314
26,(310) 645-7700,12809.837395609387,Exg_3dHZUJwPaLctg_GXyA,False,Holiday Inn Express Los Angeles - Lax Airport,+13106457700,$$,3.0,120,[],https://www.yelp.com/biz/holiday-inn-express-los-angeles-lax-airport-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,8620 Airport Blvd,Los Angeles,90045,US,CA,"['8620 Airport Blvd', 'Los Angeles, CA 90045']",33.95905,-118.38491
27,(310) 657-1333,6193.778453890417,ou9ZvSNg94hC755l-WSx_A,False,Sunset Marquis,+13106571333,$$$,4.5,197,[],https://www.yelp.com/biz/sunset-marquis-west-hollywood-6?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1200 Alta Loma Rd,West Hollywood,90069,US,CA,"['1200 Alta Loma Rd', 'West Hollywood, CA 90069']",34.0921530217661,-118.377602879797
28,(310) 208-3945,11085.466136111918,Ld6FyAaIMV8d-2HqRF9twA,False,Hilgard House Hotel,+13102083945,$$,3.0,51,[],https://www.yelp.com/biz/hilgard-house-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,927 Hilgard Ave,Los Angeles,90024,US,CA,"['927 Hilgard Ave', 'Los Angeles, CA 90024']",34.06319,-118.44173
29,(323) 656-1234,6073.236713597733,86el4jOfhZOhCEO_CRZ-QA,False,Andaz West Hollywood-a concept by Hyatt,+13236561234,$$$,4.0,427,[],https://www.yelp.com/biz/andaz-west-hollywood-a-concept-by-hyatt-west-hollywood?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,8401 Sunset Blvd,West Hollywood,90069,US,CA,"['8401 Sunset Blvd', 'West Hollywood, CA 90069']",34.0953731461763,-118.373194728836
30,(323) 785-6666,4331.672136209942,sRY__do6TgV_-I2D1WmeLw,False,Mama Shelter,+13237856666,$$,3.5,369,[],https://www.yelp.com/biz/mama-shelter-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,6500 Selma Ave,Los Angeles,90028,US,CA,"['6500 Selma Ave', 'Los Angeles, CA 90028']",34.09961,-118.33135
31,(310) 860-7800,7175.150005736943,IIi3gWDTsJJOUZFK8kzzqw,False,Montage Beverly Hills,+13108607800,$$$$,4.5,374,[],https://www.yelp.com/biz/montage-beverly-hills-beverly-hills?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,225 N. Canon Dr.,Beverly Hills,90212,US,CA,"['225 N. Canon Dr.', 'Beverly Hills, CA 90212']",34.067787987164,-118.398914305419
32,(213) 389-6711,2205.1994927445517,F2jrSR_4t4_Qy0CdOMXezw,False,East West Hotel,+12133896711,$$,3.5,55,[],https://www.yelp.com/biz/east-west-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,3206 W 8th St,Los Angeles,90005,US,CA,"['3206 W 8th St', 'Los Angeles, CA 90005']",34.05755,-118.29794
33,(213) 617-3077,7609.115233052147,Z-YfxL8_ECPm-E-OLbGmRQ,False,Best Western Plus Dragon Gate Inn,+12136173077,$$,3.5,108,[],https://www.yelp.com/biz/best-western-plus-dragon-gate-inn-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,818 N Hill St,Los Angeles,90012,US,CA,"['818 N Hill St', 'Los Angeles, CA 90012']",34.0631637573242,-118.238899230957
34,(213) 483-6363,4349.979976832044,KbWwNBg7PQ4xNhyOf_F_9Q,False,Holiday Inn Express & Suites Los Angeles Downtown West,+12134836363,$$,3.0,64,[],https://www.yelp.com/biz/holiday-inn-express-and-suites-los-angeles-downtown-west-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,611 S Westlake Ave,Los Angeles,90057,US,CA,"['611 S Westlake Ave', 'Los Angeles, CA 90057']",34.0586967468262,-118.274223327637
35,(213) 385-4444,2589.2420063148797,PzcRE1lQglKSSxdJzVG-JQ,False,Best Western Plus LA Mid-Town Hotel,+12133854444,$$,3.5,19,[],https://www.yelp.com/biz/best-western-plus-la-mid-town-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,603 S New Hampshire Ave,Los Angeles,90005,US,CA,"['603 S New Hampshire Ave', 'Los Angeles, CA 90005']",34.06333,-118.29326
36,,5117.967709955428,lbzs6QoG5g9ZEu6wk2yAag,False,The Bates Motel By Vincent Lamouroux,,$,4.0,5,[],https://www.yelp.com/biz/the-bates-motel-by-vincent-lamouroux-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,4301 Sunset Blvd,Los Angeles,90029,US,CA,"['4301 Sunset Blvd', 'Los Angeles, CA 90029']",34.0948590348098,-118.28298009932
37,(213) 624-1011,6348.907092753412,oSqNlNpKImKF69GJ67-rCg,False,Millennium Biltmore Los Angeles,+12136241011,$$$,3.0,876,[],https://www.yelp.com/biz/millennium-biltmore-los-angeles-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,506 S Grand Ave,Los Angeles,90071,US,CA,"['506 S Grand Ave', 'Los Angeles, CA 90071']",34.04973,-118.25389
38,(818) 821-8031,13331.422716324494,mVNMBJPE1WrvsMdz8kxumQ,False,Holiday Inn Express North Hollywood - Burbank Area,+18188218031,$$,4.0,65,[],https://www.yelp.com/biz/holiday-inn-express-north-hollywood-burbank-area-north-hollywood-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,11350 Burbank Blvd,North Hollywood,91601,US,CA,"['11350 Burbank Blvd', 'North Hollywood, CA 91601']",34.1719094,-118.3780834
39,(310) 337-2800,13838.469723988992,94BZuPwetK-cnBbfDEGrmg,False,Renaissance Los Angeles Airport Hotel,+13103372800,$$,3.5,320,[],https://www.yelp.com/biz/renaissance-los-angeles-airport-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,9620 Airport Blvd,Los Angeles,90045,US,CA,"['9620 Airport Blvd', 'Los Angeles, CA 90045']",33.9489441072526,-118.385205119848
40,(310) 794-0151,11124.864508582086,Aso8rpkOmJaawQBbn4vHnw,False,UCLA Tiverton House,+13107940151,$$,4.0,37,[],https://www.yelp.com/biz/ucla-tiverton-house-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,900 Tiverton Ave,Los Angeles,90095,US,CA,"['900 Tiverton Ave', 'Los Angeles, CA 90095']",34.0630499,-118.44223
41,(310) 558-9400,7914.247436089695,ClCj8KNrs5t8nhu28SFJQQ,False,The Culver Hotel,+13105589400,$$,3.5,476,[],https://www.yelp.com/biz/the-culver-hotel-culver-city?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,9400 Culver Blvd,Culver City,90232,US,CA,"['9400 Culver Blvd', 'Culver City, CA 90232']",34.02381,-118.39417
42,(310) 476-6571,13617.468887142633,jTRBtDizP-_hvoS3UmIVTA,False,Luxe Sunset Boulevard Hotel,+13104766571,$$$,3.0,218,[],https://www.yelp.com/biz/luxe-sunset-boulevard-hotel-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,11461 Sunset Blvd,Los Angeles,90049,US,CA,"['11461 Sunset Blvd', 'Los Angeles, CA 90049']",34.07294,-118.46915
43,(213) 748-4141,5994.078182182401,xrPKJSl9iql-BfDx7mJE6w,False,Radisson Hotel Los Angeles Midtown at USC,+12137484141,$$,3.0,168,[],https://www.yelp.com/biz/radisson-hotel-los-angeles-midtown-at-usc-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,3540 S Figueroa St,Los Angeles,90007,US,CA,"['3540 S Figueroa St', 'Los Angeles, CA 90007']",34.019271199456,-118.281083399354
44,(323) 658-6600,4910.607990716422,sVeV8NWqwTQPRRMSHJzCjw,False,The Orlando Hotel,+13236586600,$$$,3.5,146,[],https://www.yelp.com/biz/the-orlando-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,8384 W 3rd St,Los Angeles,90048,US,CA,"['8384 W 3rd St', 'Los Angeles, CA 90048']",34.0728326,-118.3728893
45,(310) 642-1111,14291.16256300364,bq9JlfWGuF5JfKAOP8OibQ,False,Sheraton Gateway Los Angeles Hotel,+13106421111,$$,3.0,575,[],https://www.yelp.com/biz/sheraton-gateway-los-angeles-hotel-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,6101 West Century Blvd,Los Angeles,90045,US,CA,"['6101 West Century Blvd', 'Los Angeles, CA 90045']",33.94653,-118.39078
47,(213) 623-9904,5812.684661697665,NjGkRYbc6baHhLvSuJeYhg,False,O Hotel & Spa,+12136239904,$$,3.0,241,[],https://www.yelp.com/biz/o-hotel-and-spa-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,819 S Flower St,Los Angeles,90017,US,CA,"['819 S Flower St', 'Los Angeles, CA 90017']",34.046979,-118.2608
48,(213) 413-8100,4691.563937991124,56_qGIIktWIXw73vYzVMog,False,Stuart Hotel,+12134138100,$,1.5,53,[],https://www.yelp.com/biz/stuart-hotel-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,718 S Union Ave,Los Angeles,90017,US,CA,"['718 S Union Ave', 'Los Angeles, CA 90017']",34.0531560978491,-118.271480798721
49,(323) 294-0083,5953.244161135647,weqYtE-PTIm6MBltTztRcQ,False,Snooty Fox Motor Inn,+13232940083,$,3.0,26,[],https://www.yelp.com/biz/snooty-fox-motor-inn-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,4120 S Western Ave,Los Angeles,90062,US,CA,"['4120 S Western Ave', 'Los Angeles, CA 90062']",34.00908,-118.30854
99,(310) 215-3300,14434.522430338742,LPQWg33b9QYLc71HkM8c-w,False,Homewood Suites by Hilton Los Angeles Int'l Airport,+13102153300,$$,4.0,15,[],https://www.yelp.com/biz/homewood-suites-by-hilton-los-angeles-intl-airport-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,6151 W Century Blvd,Los Angeles,90045,US,CA,"['6151 W Century Blvd', 'Los Angeles, CA 90045']",33.946028,-118.3927133
149,(323) 939-3772,2435.886527448097,u0EaYzpI1wiCY6LO0ts5ew,False,Relax Inn Motel,+13239393772,$,3.0,18,[],https://www.yelp.com/biz/relax-inn-motel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1269 S La Brea Ave,Los Angeles,90019,US,CA,"['1269 S La Brea Ave', 'Los Angeles, CA 90019']",34.051459,-118.344825
199,(323) 651-2441,4281.834929480384,Cz_0cFxwLTPZN4seH7uMEg,False,Beverly Laurel Motor Inn,+13236512441,$$,3.5,106,[],https://www.yelp.com/biz/beverly-laurel-motor-inn-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,8018 Beverly Blvd,Los Angeles,90048,US,CA,"['8018 Beverly Blvd', 'Los Angeles, CA 90048']",34.0758018493652,-118.364440917969
249,(323) 988-9000,5273.607008676364,KBrTcSvtowheF9iokTJ_fQ,False,The Charlie Hotel,+13239889000,$$$,4.5,48,[],https://www.yelp.com/biz/the-charlie-hotel-west-hollywood?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,819 N Sweetzer Ave,West Hollywood,90069,US,CA,"['819 N Sweetzer Ave', 'West Hollywood, CA 90069']",34.08594,-118.37057
299,(323) 876-8600,5228.830442680949,r4Cz6a1QjTj4_3gPSYZn-w,False,Hilton Garden Inn Los Angeles/ Hollywood,+13238768600,$$,3.0,142,[],https://www.yelp.com/biz/hilton-garden-inn-los-angeles-hollywood-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,2005 N Highland Ave,Los Angeles,90068,US,CA,"['2005 N Highland Ave', 'Los Angeles, CA 90068']",34.1066235070457,-118.337723314768
