,display_phone,distance,id,image_url,is_closed,name,phone,price,rating,review_count,transactions,url,title1,0,0,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
11,(323) 512-2500,8303.47251003813,bKeJWK8yxAo0x5y_0kGyVA,https://s3-media4.fl.yelpcdn.com/bphoto/lZuAjsjMrkxk5NqTKB54uw/o.jpg,False,Mercado Hollywood,+13235122500,$$,4.5,573,[],https://www.yelp.com/biz/mercado-hollywood-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,mexican,,,34.13166,-118.35262,3413 Cahuenga Blvd W,,,Los Angeles,90068,US,CA,"['3413 Cahuenga Blvd W', 'Los Angeles, CA 90068']"
12,(323) 933-4020,2480.11853498321,23Qrcz2i9e2e8MstUIIO0A,https://s3-media2.fl.yelpcdn.com/bphoto/xVcLc-Mkoinxs8pGuFnnAw/o.jpg,False,Yuko Kitchen,+13239334020,$$,4.5,1386,[],https://www.yelp.com/biz/yuko-kitchen-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,japanese,,,34.0621807,-118.348153,5484 Wilshire Blvd,,,Los Angeles,90036,US,CA,"['5484 Wilshire Blvd', 'Los Angeles, CA 90036']"
13,(213) 481-2800,6206.636384735763,eNPaF_hVdpxMkzyq9kenYQ,https://s3-media2.fl.yelpcdn.com/bphoto/BGLwxtGbhX-o2MHPTgAOrg/o.jpg,False,The Park's Finest,+12134812800,$$,4.0,1719,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/the-parks-finest-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,bbq,,,34.0665313022035,-118.254266053011,1267 W Temple St,,,Los Angeles,90026,US,CA,"['1267 W Temple St', 'Los Angeles, CA 90026']"
14,(310) 279-4180,8566.132332259867,HEmvIWG0hKlYyPF4orQE6A,https://s3-media3.fl.yelpcdn.com/bphoto/eQRIThsCAcXSOVuOq9oqFQ/o.jpg,False,Craft,+13102794180,$$$$,4.0,1614,['delivery'],https://www.yelp.com/biz/craft-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,newamerican,,,34.059600202614,-118.414339605181,10100 Constellation Blvd,,,Los Angeles,90067,US,CA,"['10100 Constellation Blvd', 'Los Angeles, CA 90067']"
15,(310) 277-0210,7055.934946151548,4wCML4lC5WxoxptfhXILhw,https://s3-media2.fl.yelpcdn.com/bphoto/QAtpapXPjpGJUoRaKHN-iQ/o.jpg,False,Sotto,+13102770210,$$$,4.0,785,[],https://www.yelp.com/biz/sotto-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.05548,-118.39761,9575 W Pico Blvd,,,Los Angeles,90035,US,CA,"['9575 W Pico Blvd', 'Los Angeles, CA 90035']"
16,(323) 664-8259,5664.791901661266,-KqNRM-drDM7Nu9i9xEnfA,https://s3-media1.fl.yelpcdn.com/bphoto/DelXpOQ1Q_4PUZ8FqDnFig/o.jpg,False,La Pergoletta,+13236648259,$$,4.5,607,"['delivery', 'pickup']",https://www.yelp.com/biz/la-pergoletta-los-angeles-4?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.1037812,-118.2872479,1802 Hillhurst Ave,,,Los Angeles,90027,US,CA,"['1802 Hillhurst Ave', 'Los Angeles, CA 90027']"
17,(310) 278-2345,5782.613884334966,tYlfZ4llQPd5xgQZLT1ILQ,https://s3-media2.fl.yelpcdn.com/bphoto/JrYUvISq7OOBkqPNmrcqJw/o.jpg,False,The District by Hannah An,+13102782345,$$$,4.0,876,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/the-district-by-hannah-an-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,vietnamese,,,34.0734211941441,-118.38251277563,8722 W 3rd St,,,Los Angeles,90048,US,CA,"['8722 W 3rd St', 'Los Angeles, CA 90048']"
18,(323) 823-4890,2229.5741473318626,cSSyQ9xttMy6Gn8TFyNH7w,https://s3-media1.fl.yelpcdn.com/bphoto/D5QTCnepcX4qqearZXIc-g/o.jpg,False,Spare Tire Kitchen & Tavern,+13238234890,$$,4.0,769,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/spare-tire-kitchen-and-tavern-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,gastropubs,,,34.0620758597251,-118.345577081314,5370 Wilshire Blvd,,,Los Angeles,90036,US,CA,"['5370 Wilshire Blvd', 'Los Angeles, CA 90036']"
19,(323) 665-5899,5066.4800926698645,hOHWu75whwn2hSc2HvRc6w,https://s3-media3.fl.yelpcdn.com/bphoto/kCMxqx_F1320IOK7R-eSUA/o.jpg,False,Night + Market Song,+13236655899,$$,4.0,804,[],https://www.yelp.com/biz/night-market-song-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,thai,,,34.0869930418948,-118.275715286631,3322 W Sunset Blvd,,,Los Angeles,90026,US,CA,"['3322 W Sunset Blvd', 'Los Angeles, CA 90026']"
20,(213) 290-6114,9902.711468013575,PXYKRPkEcf4Mczfp_AfP0w,https://s3-media3.fl.yelpcdn.com/bphoto/NLCQN1GHA-92Mu2JQWfrcw/o.jpg,False,Corn Man,+12132906114,$,4.5,792,[],https://www.yelp.com/biz/corn-man-los-angeles-3?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,foodstands,,,34.0725774690603,-118.214694509262,2338 Workman St,,,Los Angeles,90031,US,CA,"['2338 Workman St', 'Los Angeles, CA 90031']"
21,(213) 989-1558,5962.124763619859,CbW8U0QAwh5XRkaLt0xNZA,https://s3-media2.fl.yelpcdn.com/bphoto/fPSs3Kgy7Tn4WnSF-zl4OQ/o.jpg,False,Masa of Echo Park,+12139891558,$$,4.0,3714,['pickup'],https://www.yelp.com/biz/masa-of-echo-park-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,newamerican,,,34.077585,-118.259599,1800 W Sunset Blvd,,,Los Angeles,90026,US,CA,"['1800 W Sunset Blvd', 'Los Angeles, CA 90026']"
22,(213) 989-1718,6025.065937588177,L3YM8cAda9L_t_j-2C4ufA,https://s3-media3.fl.yelpcdn.com/bphoto/SWAqtahsmlDj0JeyIYwcJw/o.jpg,False,Sage Plant Based Bistro and Brewery,+12139891718,$$,4.0,1877,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/sage-plant-based-bistro-and-brewery-los-angeles-3?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,vegan,,,34.077123,-118.258714,1700 Sunset Blvd,,,Los Angeles,90026,US,CA,"['1700 Sunset Blvd', 'Los Angeles, CA 90026']"
23,(323) 545-4880,8811.04124626665,4Zx7Lw4U6F0sXrV4aiIyqQ,https://s3-media2.fl.yelpcdn.com/bphoto/9fH55sUhbaegZKsODoL2aw/o.jpg,False,Majordōmo,+13235454880,$$$,4.0,396,[],https://www.yelp.com/biz/majord%C5%8Dmo-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,newamerican,,,34.0690575,-118.226105,1725 Naud St,,,Los Angeles,90012,US,CA,"['1725 Naud St', 'Los Angeles, CA 90012']"
24,(213) 996-6000,8260.194482066905,cK9wMWnQEW9MdYjc-YWueg,https://s3-media1.fl.yelpcdn.com/bphoto/Y2X33yHcXXtLuzkHJ2H2CA/o.jpg,False,The Factory Kitchen,+12139966000,$$$,4.0,1154,[],https://www.yelp.com/biz/the-factory-kitchen-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.038867,-118.23602,1300 Factory Pl,Ste 101,,Los Angeles,90013,US,CA,"['1300 Factory Pl', 'Ste 101', 'Los Angeles, CA 90013']"
25,(213) 403-1616,5429.780394656111,UZlLBVnqs9Ikphin8CMVcA,https://s3-media4.fl.yelpcdn.com/bphoto/Gn2a-XYjWqve0iVMilcFzQ/o.jpg,False,Plan Check Kitchen & Bar,+12134031616,$$,4.0,1027,"['delivery', 'pickup']",https://www.yelp.com/biz/plan-check-kitchen-and-bar-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,cocktailbars,,,34.052601,-118.263447,1111 Wilshire Blvd,,,Los Angeles,90017,US,CA,"['1111 Wilshire Blvd', 'Los Angeles, CA 90017']"
26,(323) 462-5073,4421.434208589176,7qZBxWisbeVI34gIeNpP1A,https://s3-media2.fl.yelpcdn.com/bphoto/7U8SgURqVsrsTjymFyRaug/o.jpg,False,Palms Thai Restaurant,+13234625073,$$,4.0,2471,[],https://www.yelp.com/biz/palms-thai-restaurant-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,seafood,,,34.10128,-118.31841,5900 Hollywood Blvd,Ste B,,Los Angeles,90028,US,CA,"['5900 Hollywood Blvd', 'Ste B', 'Los Angeles, CA 90028']"
27,(323) 297-0100,2901.6194362590854,YoQn8MtOimQbqi839TmeZw,https://s3-media2.fl.yelpcdn.com/bphoto/jfE_YqYcEpZd7MawFaKdGw/o.jpg,False,Osteria Mozza,+13232970100,$$$$,4.0,2556,[],https://www.yelp.com/biz/osteria-mozza-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.08319,-118.33881,6602 Melrose Ave,,,Los Angeles,90038,US,CA,"['6602 Melrose Ave', 'Los Angeles, CA 90038']"
28,(323) 747-1388,3264.0671277930005,E4W2T89vm4hmBwk39EoUuw,https://s3-media2.fl.yelpcdn.com/bphoto/ocrE0sRjOB-ZuMDsJ7YhKw/o.jpg,False,Tatsu Ramen,+13237471388,$$,4.0,2777,[],https://www.yelp.com/biz/tatsu-ramen-los-angeles-4?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,ramen,,,34.0837107,-118.3446759,7111 Melrose Ave,,,Los Angeles,90046,US,CA,"['7111 Melrose Ave', 'Los Angeles, CA 90046']"
29,(310) 388-1888,5827.93024560931,vnLHXjXRK3Euzkq8vRYzqA,https://s3-media2.fl.yelpcdn.com/bphoto/OQZVphYwV_-YsDuLgCKbbg/o.jpg,False,Barton G Los Angeles,+13103881888,$$$,3.5,1856,[],https://www.yelp.com/biz/barton-g-los-angeles-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,tradamerican,,,34.0869539412233,-118.376752998217,861 N La Cienega Blvd,,,Los Angeles,90069,US,CA,"['861 N La Cienega Blvd', 'Los Angeles, CA 90069']"
30,(213) 712-2683,6286.390515250419,nGlLaC0p0naSlgdy2-HCVw,https://s3-media3.fl.yelpcdn.com/bphoto/FNmNxL97kdxEAo7Sno7_AA/o.jpg,False,71 Above,+12137122683,$$$$,4.0,1233,[],https://www.yelp.com/biz/71-above-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,tradamerican,,,34.0511203,-118.2543221,633 W 5th St,Fl 71,,Los Angeles,90071,US,CA,"['633 W 5th St', 'Fl 71', 'Los Angeles, CA 90071']"
31,(213) 625-1722,7472.16955393098,OowWjnNFs-Lfw0Kfx8GmJw,https://s3-media1.fl.yelpcdn.com/bphoto/I9lHtbo90sJ7llx3KZMKqg/o.jpg,False,Izakaya Fu-ga,+12136251722,$$,4.0,831,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/izakaya-fu-ga-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,bars,,,34.0501189106436,-118.241461110451,111 S San Pedro St,,,Los Angeles,90012,US,CA,"['111 S San Pedro St', 'Los Angeles, CA 90012']"
32,(310) 231-7373,11439.221490434153,FoEMpu0X_bGCb7yRreMxMQ,https://s3-media3.fl.yelpcdn.com/bphoto/i39ZusLcK7FIepNzJ4UIBw/o.jpg,False,Tsujita LA Artisan Noodle,+13102317373,$$,4.0,3447,[],https://www.yelp.com/biz/tsujita-la-artisan-noodle-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,ramen,,,34.0395785158514,-118.442669604805,2057 Sawtelle Blvd,,,Los Angeles,90025,US,CA,"['2057 Sawtelle Blvd', 'Los Angeles, CA 90025']"
33,(323) 366-2233,7752.632468388981,iFQOcE33X12V_iO4WY1qqg,https://s3-media4.fl.yelpcdn.com/bphoto/HzYH_YvesI6BSLn5k4cxqQ/o.jpg,False,Tokyo Cube,+13233662233,$$,4.5,326,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/tokyo-cube-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,japanese,,,34.1280284,-118.3469092,3175 Cahuenga Blvd W,,,Los Angeles,90068,US,CA,"['3175 Cahuenga Blvd W', 'Los Angeles, CA 90068']"
34,(323) 741-8148,7185.779378116056,4B_hWagBKAMcsotnnoH30Q,https://s3-media1.fl.yelpcdn.com/bphoto/Wyzhhg0z4YUOTqnhxm97nA/o.jpg,False,Little Pine,+13237418148,$$,4.5,663,[],https://www.yelp.com/biz/little-pine-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,vegan,,,34.10768,-118.26677,2870 Rowena Ave,,,Los Angeles,90039,US,CA,"['2870 Rowena Ave', 'Los Angeles, CA 90039']"
35,(213) 935-8500,6502.265225541526,G_V5eJFfYlTEERyIPR-8MQ,https://s3-media3.fl.yelpcdn.com/bphoto/5yek7VF0i9VPRpXIwefLVg/o.jpg,False,Otium,+12139358500,$$$,4.0,1436,[],https://www.yelp.com/biz/otium-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,newamerican,,,34.054358,-118.251339,222 S Hope St,,,Los Angeles,90012,US,CA,"['222 S Hope St', 'Los Angeles, CA 90012']"
36,(323) 951-9800,4138.155878736115,uW5G6PjMAEXBWDlpDis6-A,https://s3-media1.fl.yelpcdn.com/bphoto/6rWq8RkKIjsGI7oqLu-WFg/o.jpg,False,Gusto,+13239519800,$$$,4.0,468,['pickup'],https://www.yelp.com/biz/gusto-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.0717146,-118.3646111,8022 W 3rd St,,,Los Angeles,90048,US,CA,"['8022 W 3rd St', 'Los Angeles, CA 90048']"
37,(323) 879-9881,3752.555689127287,30jrTz8vh1xSXdtXMvt-mA,https://s3-media1.fl.yelpcdn.com/bphoto/V0tMCKb6Fw6q8b106olFFw/o.jpg,False,My Two Cents,+13238799881,$$,4.5,407,[],https://www.yelp.com/biz/my-two-cents-los-angeles-3?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,southern,,,34.0498186,-118.3596124,5583 W Pico Blvd,,,Los Angeles,90019,US,CA,"['5583 W Pico Blvd', 'Los Angeles, CA 90019']"
38,(213) 405-1434,8676.205319647885,AZyLsJTbviqWYOOXnUKFqA,https://s3-media3.fl.yelpcdn.com/bphoto/-qg7nJLYB-TG94XkHNUgmg/o.jpg,False,Church & State,+12134051434,$$$,3.5,1672,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/church-and-state-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,french,,,34.03545,-118.23284,1850 Industrial St,,,Los Angeles,90021,US,CA,"['1850 Industrial St', 'Los Angeles, CA 90021']"
39,(323) 848-4475,4623.679393718588,4X8j8QlBiF61ezICJYf5tw,https://s3-media1.fl.yelpcdn.com/bphoto/SgZT5NzSLOjw9n__j5-u9w/o.jpg,False,LONO Hollywood,+13238484475,$$,4.5,201,['restaurant_reservation'],https://www.yelp.com/biz/lono-hollywood-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,tikibars,,,34.10187,-118.33383,6611 Hollywood Blvd,,,Los Angeles,90028,US,CA,"['6611 Hollywood Blvd', 'Los Angeles, CA 90028']"
40,(323) 965-9665,3756.8833873007134,Kx_d7X7qjj9EoX-A7eC3gA,https://s3-media2.fl.yelpcdn.com/bphoto/1x_18-QlBsleOo5QfX35NQ/o.jpg,False,Maggiano's Little Italy,+13239659665,$$,4.0,1619,"['delivery', 'pickup']",https://www.yelp.com/biz/maggianos-little-italy-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.0735357290438,-118.359532366503,189 The Grove Dr,Ste Z80,,Los Angeles,90036,US,CA,"['189 The Grove Dr', 'Ste Z80', 'Los Angeles, CA 90036']"
41,(213) 626-0480,7644.057621121172,WnEQZDZ86ozJjnAkw8tYRQ,https://s3-media4.fl.yelpcdn.com/bphoto/eEEkWmNl-JFmFaGCV8RJNA/o.jpg,False,Chinchikurin-Little Tokyo,+12136260480,$$,4.0,221,[],https://www.yelp.com/biz/chinchikurin-little-tokyo-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,japanese,,,34.0493955,-118.2397527,350 E 1st St,,,Los Angeles,90012,US,CA,"['350 E 1st St', 'Los Angeles, CA 90012']"
42,(323) 939-1033,2449.8161730694433,yJ9wI3NEy65oGMKjtaGIxA,https://s3-media1.fl.yelpcdn.com/bphoto/0pLm1eBu9RiLyGZ8HoliiA/o.jpg,False,Odys and Penelope,+13239391033,$$$,4.0,556,[],https://www.yelp.com/biz/odys-and-penelope-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,tradamerican,,,34.07275,-118.34437,127 S La Brea,,,Los Angeles,90036,US,CA,"['127 S La Brea', 'Los Angeles, CA 90036']"
